time[sec]	velocity[sec]	angle[rad]	x[m]	y[m]
14.040000	13.062654	0.000014	-13.969917	247.520020
14.070000	12.897829	0.000012	-13.956833	247.922974
14.100000	12.738884	0.000014	-13.944290	248.309204
14.130000	12.579939	0.000014	-13.931755	248.695465
14.160000	12.420995	0.000012	-13.919212	249.081696
14.190000	12.262053	0.000009	-13.906677	249.467926
14.220000	12.108315	0.000007	-13.894806	249.833649
14.250000	11.954579	0.000004	-13.882927	250.199371
14.280000	11.800843	-0.000003	-13.871056	250.565094
14.310000	11.648989	-0.000007	-13.859695	250.915009
14.340000	11.497134	-0.000003	-13.848335	251.264923
14.370000	11.345280	-0.000000	-13.836975	251.614838
14.400000	11.193426	0.000004	-13.825623	251.964722
14.430000	11.041715	0.000008	-13.814873	252.295837
14.460000	10.890003	0.000006	-13.804123	252.626923
14.490000	10.738293	0.000005	-13.793373	252.958038
14.520000	10.586583	0.000007	-13.782623	253.289124
14.550000	10.432617	0.000010	-13.772484	253.601410
14.580000	10.278651	0.000004	-13.762344	253.913696
14.610000	10.124686	0.000002	-13.752197	254.225952
14.640000	9.970722	-0.000004	-13.742058	254.538239
14.670000	9.816759	-0.000006	-13.731911	254.850494
14.700000	9.657300	-0.000004	-13.722511	255.140045
14.730000	9.497841	-0.000003	-13.713112	255.429565
14.760000	9.338383	-0.000002	-13.703712	255.719116
14.790000	9.178925	-0.000001	-13.694305	256.008636
14.820000	9.012214	-0.000000	-13.685539	256.278717
14.850000	8.845503	0.000001	-13.676773	256.548767
14.880000	8.678792	0.000003	-13.667999	256.818848
14.910000	8.512082	0.000004	-13.659233	257.088898
14.940000	8.345373	0.000006	-13.650459	257.358978
14.970000	8.178665	0.000007	-13.641693	257.629028
15.000000	7.999317	0.000005	-13.633835	257.870972
15.030000	7.819970	0.000004	-13.625977	258.112915
15.060000	7.640623	0.000003	-13.618118	258.354858
15.090000	7.461276	0.000001	-13.610260	258.596771
15.120000	7.281930	-0.000000	-13.602402	258.838715
15.150000	7.088642	-0.000000	-13.595413	259.053925
15.180000	6.895354	-0.000000	-13.588425	259.269135
15.210000	6.702066	-0.000000	-13.581436	259.484344
15.240000	6.508779	-0.000000	-13.574448	259.699524
15.270000	6.315492	-0.000000	-13.567459	259.914734
15.300000	6.122206	-0.000000	-13.560471	260.129913
15.330000	5.928922	-0.000000	-13.553482	260.345123
15.360000	5.710855	0.000001	-13.547752	260.521515
15.390000	5.492788	0.000001	-13.542023	260.697906
15.420000	5.274722	0.000002	-13.536293	260.874268
15.450000	5.056656	0.000003	-13.530563	261.050659
